Questions,Answers,Context,Types,SQL
How many World Championships Silver Medals did Nouran Gohar win ?,2,"Nouran Gohar

Personal Information
Birth Date
1997-9-30	

Birth Place
Egypt	

Height
167 cm	

Weight
59  kg	

Coach
Omar Abd El Aziz, Karim Darwish	

Years Active

Date Of Highest Ranking
October 2020	

Country Representing: EGY
World Championships
Singles 	MedalGold | 2024 | Cairo, MedalSilver | 2022 | Cairo, MedalSilver | 2023 | Chicago, MedalBronze | 2015 | Kuala Lumpur, MedalBronze | 2016 | El Gouna

World Team Championships
Team	MedalGold | 2016 | Issy, MedalGold | 2018 | Dalian, MedalGold | 2022 | Cairo

",1,"SELECT COUNT(*) AS silver_medal_count
FROM Medal m
JOIN Format f ON m.format_id = f.format_id
JOIN Tournament t ON f.tournament_id = t.tournament_id
JOIN Athlete a ON t.athlete_id = a.athlete_id
WHERE a.name = 'Nouran Gohar'
  AND t.name = 'World Championships'
  AND m.type = 'MedalSilver';"
List all the formats in which Rossella Fiamingo has won medals in ?,"Individual, Team","Rossella Fiamingo

Personal Information
Birth Date
1991-7-14	

Birth Place
Catania	

Height
1.68 m	

Weight
56  kg	

Coach
Sandro Cuomo	
Gianni Sperlinga	

Country Representing: ITA
Olympic Games
Individual	MedalSilver | 2016 | Rio de Janeiro
Team	MedalBronze | 2020 | Tokyo

World Championships
Individual	MedalGold | 2014 | Kazan, MedalGold | 2015 | Moscow, MedalBronze | 2022 | Cairo
Team	MedalSilver | 2022 | Cairo, MedalSilver | 2023 | Milan, MedalBronze | 2011 | Catania, MedalBronze | 2014 | Kazan, MedalBronze | 2019 | Budapest

European Games
Team	MedalBronze | 2023 | Kraków

European Championships
Team	MedalGold | 2024 | Basel, MedalSilver | 2022 | Antalya, MedalBronze | 2014 | Strasbourg, MedalBronze | 2015 | Montreux, MedalBronze | 2019 | Düsseldorf, MedalBronze | 2023 | Kraków
Individual	MedalSilver | 2015 | Montreux, MedalSilver | 2022 | Antalya

",3,"SELECT DISTINCT f.name AS format_name
FROM Medal m
JOIN Format f ON m.format_id = f.format_id
JOIN Tournament t ON f.tournament_id = t.tournament_id
JOIN Athlete a ON t.athlete_id = a.athlete_id
WHERE a.name = 'Rossella Fiamingo';"
In which format(s) is Zac Stubblety-Cook most succesfull ?,200 m breaststroke,"Zac Stubblety-Cook

Personal Information
Birth Date
1999-1-4	

Birth Place
Brisbane	

Height
181 cm	

Weight
72  kg	

Country Representing: AUS
Olympic Games
200 m breaststroke	MedalGold | 2020 | SOG
4x100 m mixed medley	MedalBronze | 2020 | Tokyo

World Championships (LC)
200 m breaststroke	MedalGold | 2022 | Budapest, MedalSilver | 2023 | Fukuoka
4x100 m mixed medley	MedalSilver | 2022 | Budapest, MedalSilver | 2023 | Fukuoka
4x100 m medley	MedalBronze | 2023 | Fukuoka

Commonwealth Games
200 m breaststroke	MedalGold | 2022 | Birmingham
4x100 m mixed medley	MedalGold | 2022 | Birmingham
100 m breaststroke	MedalSilver | 2022 | Birmingham
4x100 m medley	MedalSilver | 2022 | Birmingham

Pan Pacific Championships
200 m breaststroke	MedalSilver | 2018 | Tokyo

World Junior Championships
200 m breaststroke	MedalBronze | 2017 | Indianapolis
4x100 m medley	MedalBronze | 2017 | Indianapolis

",5,"SELECT f.name AS format_name
FROM Medal m
JOIN Format f ON m.format_id = f.format_id
JOIN Tournament t ON f.tournament_id = t.tournament_id
JOIN Athlete a ON t.athlete_id = a.athlete_id
WHERE a.name = 'Zac Stubblety-Cook'
GROUP BY f.name
HAVING COUNT(m.medal_id) = (
    SELECT MAX(medal_count)
    FROM (
        SELECT COUNT(m.medal_id) AS medal_count
        FROM Medal m
        JOIN Format f ON m.format_id = f.format_id
        JOIN Tournament t ON f.tournament_id = t.tournament_id
        JOIN Athlete a ON t.athlete_id = a.athlete_id
        WHERE a.name = 'Zac Stubblety-Cook'
        GROUP BY f.name
    ) AS medal_counts
);"
How many International Silver Medals did Liam Pitchford win throughout his/her career?,5,"Liam Pitchford

Personal Information
Birth Date
1993-7-12	

Birth Place
Chesterfield, Derbyshire	

Height

Weight
70 kg	

Country Representing: ENG
World Championships
Team	MedalBronze | 2016 | Kuala Lumpur

World Cup
Team	MedalBronze | 2018 | London

Commonwealth Games
Men's doubles	MedalGold | 2018 | Gold Coast, MedalGold | 2022 | Birmingham, MedalBronze | 2010 | Delhi
Team	MedalSilver | 2010 | Delhi, MedalSilver | 2014 | Glasgow, MedalBronze | 2018 | Gold Coast
Mixed doubles	MedalSilver | 2014 | Glasgow, MedalSilver | 2018 | Gold Coast
Men's singles	MedalSilver | 2022 | Birmingham, MedalBronze | 2014 | Glasgow
Men's team	MedalBronze | 2022 | Birmingham

Europe Top
Singles	MedalBronze | 2023 | Montreux

",13,"SELECT COUNT(*) AS silver_medal_count
FROM Medal m
JOIN Format f ON m.format_id = f.format_id
JOIN Tournament t ON f.tournament_id = t.tournament_id
JOIN Athlete a ON t.athlete_id = a.athlete_id
WHERE a.name = 'Liam Pitchford'
  AND m.type = 'MedalSilver';"
How many times has Douglas Brose won medals in Pan American Games ?,5,"Douglas Brose

Personal Information
Birth Date
1985-12-11	

Birth Place
	

Years Active

Height

Weight
60  kg	

Coach

Country Representing: BRA
World Championships
Kumite 60 kg 	MedalGold | 2010 | Belgrade, MedalGold | 2014 | Bremen, MedalSilver | 2012 | Paris, MedalBronze | 2008 | Tokyo
Kumite 60 kg	MedalGold | 2021 | Dubai

World Games
Kumite 60 kg 	MedalGold | 2009 | Kaohsiung, MedalSilver | 2013 | Cali
Kumite 60 kg	MedalSilver | 2022 | Birmingham

World Combat Games
Kumite 60 kg 	MedalBronze | 2013 | St

Pan American Games
Kumite 60 kg	MedalGold | 2015 | Toronto
Kumite 60 kg 	MedalSilver | 2019 | Lima, MedalBronze | 2007 | Rio de Janeiro, MedalBronze | 2011 | Guadalajara, MedalBronze | 2023 | Santiago

Pan American Championship
Kumite 60 kg 	MedalGold | 2011 | Guadalajara, MedalGold | 2014 | Lima, MedalGold | 2015 | Toronto, MedalGold | 2016 | Rio, MedalGold | 2017 | Curaçao, MedalGold | 2019 | Panamá, MedalGold | 2021 | Punta del Este, MedalGold | 2022 | Curaçao, MedalBronze | 2023 | Costa Rica

South American Games
Team kumite 	MedalGold | 2010 | Medellín
Kumite 60 kg 	MedalGold | 2014 | Santiago, MedalGold | 2022 | Asunción

",14,"SELECT COUNT(*) AS medal_count
FROM Medal m
JOIN Format f ON m.format_id = f.format_id
JOIN Tournament t ON f.tournament_id = t.tournament_id
JOIN Athlete a ON t.athlete_id = a.athlete_id
WHERE a.name = 'Douglas Brose'
  AND t.name = 'Pan American Games';"
Which city did Carolina Marín win his/her first International Bronze Medals ?,Taipei,"Carolina Marín

Personal Information
Birth Date
1993-6-15	

Birth Place
Huelva	

Height
1.72 m	

Weight
65  kg	

Years Active
2009-present	

Handedness
Left	

Coach
Fernando Rivas	

Career Record
487 wins, 139 losses	

Date Of Highest Ranking
11 June 2015	

Country Representing: ESP
Olympic Games
Women's singles	MedalGold | 2016 | Rio de Janeiro

World Championships
Women's singles	MedalGold | 2014 | Copenhagen, MedalGold | 2015 | Jakarta, MedalGold | 2018 | Nanjing, MedalSilver | 2023 | Copenhagen

European Games
Women's singles	MedalGold | 2023 | Kraków

European Championships
Women's singles 	MedalGold | 2014 | Kazan, MedalGold | 2016 | La Roche, MedalGold | 2017 | Kolding, MedalGold | 2018 | Huelva, MedalGold | 2021 | Kyiv, MedalGold | 2022 | Madrid, MedalGold | 2024 | Saarbrücken

European Women
Women's team 	MedalSilver | 2024 | Łódź, MedalBronze | 2016 | Kazan, MedalBronze | 2018 | Kazan

World Junior Championships
Girls' singles 	MedalBronze | 2011 | Taipei

European Junior Championships
Girls' singles 	MedalGold | 2011 | Vantaa, MedalSilver | 2009 | Milan

",19,"SELECT DISTINCT m.location
FROM Medal m
JOIN Format f ON m.format_id = f.format_id
JOIN Tournament t ON f.tournament_id = t.tournament_id
JOIN Athlete a ON t.athlete_id = a.athlete_id
WHERE a.name = 'Carolina Marín'
  AND m.type = 'MedalBronze'
  AND m.year = (
      SELECT MIN(m2.year)
      FROM Medal m2
      JOIN Format f2 ON m2.format_id = f2.format_id
      JOIN Tournament t2 ON f2.tournament_id = t2.tournament_id
      JOIN Athlete a2 ON t2.athlete_id = a2.athlete_id
      WHERE a2.name = 'Carolina Marín'
        AND m2.type = 'MedalBronze'
  );"
Which tournament(s) has Angelo Crescenzo won the most Bronze Medals in ?,"World Championships 2023, World Games 2022, European Games 2019, European Games 2023, European Championships 2017","Angelo Crescenzo

Personal Information
Birth Date
1993-08-05	

Birth Place
Sarno	

Years Active

Height

Weight
60  kg	

Coach
	

Country Representing: ITA
World Championships
60 kg	MedalGold | 2018 | Madrid, MedalSilver | 2021 | Dubai, MedalBronze | 2023 | Budapest

World Games
60 kg	MedalBronze | 2022 | Birmingham

European Games
60 kg	MedalBronze | 2019 | Minsk, MedalBronze | 2023 | Kraków

European Championships
60 kg	MedalGold | 2023 | Guadalajara, MedalSilver | 2018 | Novi Sad, MedalSilver | 2019 | Guadalajara, MedalSilver | 2022 | Gaziantep, MedalBronze | 2017 | İzmit
Team kumite	MedalGold | 2024 | Zadar

",21,"SELECT t.name AS tournament_name, m.year
FROM Medal m
JOIN Format f ON m.format_id = f.format_id
JOIN Tournament t ON f.tournament_id = t.tournament_id
JOIN Athlete a ON t.athlete_id = a.athlete_id
WHERE a.name = 'Angelo Crescenzo'
  AND m.type = 'MedalBronze'
GROUP BY t.name, m.year
HAVING COUNT(m.medal_id) = (
    SELECT MAX(bronze_medal_count)
    FROM (
        SELECT COUNT(m2.medal_id) AS bronze_medal_count
        FROM Medal m2
        JOIN Format f2 ON m2.format_id = f2.format_id
        JOIN Tournament t2 ON f2.tournament_id = t2.tournament_id
        JOIN Athlete a2 ON t2.athlete_id = a2.athlete_id
        WHERE a2.name = 'Angelo Crescenzo'
          AND m2.type = 'MedalBronze'
        GROUP BY t2.name, m2.year
    ) AS medal_counts
);
"
Which tournament(s) has Zhang Jike won the most Medals in ?,"Olympic Games 2012, Olympic Games 2016, World Championships 2009, World Championships 2011, World Championships 2015, World Cup 2010, Asian Games 2010, Asian Games 2014, Asian Championships 2009, Asian Championships 2011","Zhang Jike

Personal Information
Birth Date
1988-2-16	

Birth Place
Qingdao	

Height
1.78 m	

Weight
73  kg	

Country Representing: CHN
Olympic Games
Singles	MedalGold | 2012 | London, MedalSilver | 2016 | Rio de Janeiro
Team	MedalGold | 2012 | London, MedalGold | 2016 | Rio de Janeiro

World Championships
Doubles	MedalBronze | 2009 | Yokohama, MedalBronze | 2011 | Rotterdam, MedalGold | 2015 | Suzhou
Mixed doubles	MedalSilver | 2009 | Yokohama
Team 	MedalGold | 2010 | Moscow
Singles	MedalGold | 2011 | Rotterdam, MedalGold | 2013 | Paris, MedalBronze | 2015 | Suzhou
Team	MedalGold | 2012 | Dortmund, MedalGold | 2014 | Tokyo, MedalGold | 2016 | Kuala Lumpur

World Cup
Team 	MedalGold | 2009 | Linz, MedalGold | 2010 | Dubai, MedalGold | 2013 | Guangzhou, MedalGold | 2015 | Dubai
Singles 	MedalSilver | 2010 | Magdeburg, MedalGold | 2011 | Paris, MedalGold | 2014 | Düsseldorf

Asian Games
Doubles	MedalGold | 2010 | Guangzhou, MedalGold | 2014 | Incheon
Team	MedalGold | 2010 | Guangzhou, MedalGold | 2014 | Incheon

Asian Championships
Singles 	MedalSilver | 2009 | Lucknow, MedalSilver | 2011 | Macau
Team 	MedalGold | 2009 | Lucknow, MedalGold | 2011 | Macau, MedalGold | 2013 | Busan, MedalGold | 2015 | Pattaya

",22,"WITH medal_counts AS (
    SELECT t.name AS tournament_name, m.year, COUNT(m.medal_id) AS total_medal_count
    FROM Medal m
    JOIN Format f ON m.format_id = f.format_id
    JOIN Tournament t ON f.tournament_id = t.tournament_id
    JOIN Athlete a ON t.athlete_id = a.athlete_id
    WHERE a.name = 'Zhang Jike'
    GROUP BY t.name, m.year
)
SELECT tournament_name, year
FROM medal_counts
WHERE total_medal_count = (
    SELECT MAX(total_medal_count)
    FROM medal_counts
);"
How many medals did Darrell Pace win in the Team Pan American Games ?,3,"Darrell Pace

Personal Information
Birth Date
1956-10-23	

Birth Place
Cincinnati, Ohio	

Height

Weight
141  lb	

Country Representing: USA
Olympic Games
Individual	MedalGold | 1976 | Montreal, MedalGold | 1984 | Los Angeles
Team	MedalSilver | 1988 | Seoul

Pan American Games
Team	MedalGold | 1979 | San Juan, MedalGold | 1983 | Caracas, MedalGold | 1987 | Indianapolis
Individual	MedalGold | 1983 | Caracas, MedalGold | 1991 | Havana, MedalSilver | 1979 | San Juan, MedalBronze | 1987 | Indianapolis
Individual 	MedalGold | 1991 | Havana

",27,"SELECT COUNT(m.medal_id) AS total_medals
FROM Medal m
JOIN Format f ON m.format_id = f.format_id
JOIN Tournament t ON f.tournament_id = t.tournament_id
JOIN Athlete a ON t.athlete_id = a.athlete_id
WHERE a.name = 'Darrell Pace'
  AND t.name = 'Pan American Games'
  AND f.name LIKE '%Team%';"
In which year did Denise Parker win his/her first Gold Medals in the Team Pan American Games?,1987,"Denise Parker

Personal Information
Birth Date

Birth Place
Salt Lake City	

Country Representing: USA
Olympic Games
Team	MedalBronze | 1988 | Seoul

Pan American Games
Individual	MedalGold | 1987 | Indianapolis, MedalGold | 1991 | Havana
Team	MedalGold | 1987 | Indianapolis, MedalGold | 1991 | Havana, MedalGold | 1999 | Winnipeg

",30,"SELECT MIN(m.year) AS first_gold_medal_year
FROM Medal m
JOIN Format f ON m.format_id = f.format_id
JOIN Tournament t ON f.tournament_id = t.tournament_id
JOIN Athlete a ON t.athlete_id = a.athlete_id
WHERE a.name = 'Denise Parker'
  AND m.type = 'MedalGold'
  AND t.name = 'Pan American Games'
  AND f.name LIKE '%Team%';"
