Types	SQL
1	"SELECT COUNT(*) AS silver_medal_count
FROM Medal m
JOIN Format f ON m.format_id = f.format_id
JOIN Tournament t ON f.tournament_id = t.tournament_id
JOIN Athlete a ON t.athlete_id = a.athlete_id
WHERE a.name = {player}
  AND t.name = {tournament}
  AND m.type = {medal};"
3	"SELECT DISTINCT f.name AS format_name
FROM Medal m
JOIN Format f ON m.format_id = f.format_id
JOIN Tournament t ON f.tournament_id = t.tournament_id
JOIN Athlete a ON t.athlete_id = a.athlete_id
WHERE a.name = {player};"
5	"SELECT f.name AS format_name
FROM Medal m
JOIN Format f ON m.format_id = f.format_id
JOIN Tournament t ON f.tournament_id = t.tournament_id
JOIN Athlete a ON t.athlete_id = a.athlete_id
WHERE a.name = {player}
GROUP BY f.name
HAVING COUNT(m.medal_id) = (
    SELECT MAX(medal_count)
    FROM (
        SELECT COUNT(m.medal_id) AS medal_count
        FROM Medal m
        JOIN Format f ON m.format_id = f.format_id
        JOIN Tournament t ON f.tournament_id = t.tournament_id
        JOIN Athlete a ON t.athlete_id = a.athlete_id
        WHERE a.name = {player}
        GROUP BY f.name
    ) AS medal_counts
);"
13	"SELECT COUNT(*) AS silver_medal_count
FROM Medal m
JOIN Format f ON m.format_id = f.format_id
JOIN Tournament t ON f.tournament_id = t.tournament_id
JOIN Athlete a ON t.athlete_id = a.athlete_id
WHERE a.name = {player}
  AND m.type = {medal};"
14	"SELECT COUNT(*) AS medal_count
FROM Medal m
JOIN Format f ON m.format_id = f.format_id
JOIN Tournament t ON f.tournament_id = t.tournament_id
JOIN Athlete a ON t.athlete_id = a.athlete_id
WHERE a.name = {player}
  AND t.name = {tournament};"
19	"SELECT DISTINCT m.location
FROM Medal m
JOIN Format f ON m.format_id = f.format_id
JOIN Tournament t ON f.tournament_id = t.tournament_id
JOIN Athlete a ON t.athlete_id = a.athlete_id
WHERE a.name = {player}
  AND m.type = 'MedalBronze'
  AND m.year = (
      SELECT MIN(m2.year)
      FROM Medal m2
      JOIN Format f2 ON m2.format_id = f2.format_id
      JOIN Tournament t2 ON f2.tournament_id = t2.tournament_id
      JOIN Athlete a2 ON t2.athlete_id = a2.athlete_id
      WHERE a2.name = {player}
        AND m2.type = 'MedalBronze'
  );"
21	"SELECT t.name AS tournament_name, m.year
FROM Medal m
JOIN Format f ON m.format_id = f.format_id
JOIN Tournament t ON f.tournament_id = t.tournament_id
JOIN Athlete a ON t.athlete_id = a.athlete_id
WHERE a.name = {player}
  AND m.type = 'MedalBronze'
GROUP BY t.name, m.year
HAVING COUNT(m.medal_id) = (
    SELECT MAX(bronze_medal_count)
    FROM (
        SELECT COUNT(m2.medal_id) AS bronze_medal_count
        FROM Medal m2
        JOIN Format f2 ON m2.format_id = f2.format_id
        JOIN Tournament t2 ON f2.tournament_id = t2.tournament_id
        JOIN Athlete a2 ON t2.athlete_id = a2.athlete_id
        WHERE a2.name = {player}
          AND m2.type = 'MedalBronze'
        GROUP BY t2.name, m2.year
    ) AS medal_counts
);
"
22	"WITH medal_counts AS (
    SELECT t.name AS tournament_name, m.year, COUNT(m.medal_id) AS total_medal_count
    FROM Medal m
    JOIN Format f ON m.format_id = f.format_id
    JOIN Tournament t ON f.tournament_id = t.tournament_id
    JOIN Athlete a ON t.athlete_id = a.athlete_id
    WHERE a.name = {player}
    GROUP BY t.name, m.year
)
SELECT tournament_name, year
FROM medal_counts
WHERE total_medal_count = (
    SELECT MAX(total_medal_count)
    FROM medal_counts
);"
27	"SELECT COUNT(m.medal_id) AS total_medals
FROM Medal m
JOIN Format f ON m.format_id = f.format_id
JOIN Tournament t ON f.tournament_id = t.tournament_id
JOIN Athlete a ON t.athlete_id = a.athlete_id
WHERE a.name = {player}
  AND t.name = {tournament}
  AND f.name LIKE '%Team%';"
30	"SELECT MIN(m.year) AS first_gold_medal_year
FROM Medal m
JOIN Format f ON m.format_id = f.format_id
JOIN Tournament t ON f.tournament_id = t.tournament_id
JOIN Athlete a ON t.athlete_id = a.athlete_id
WHERE a.name = {player}
  AND m.type = 'MedalGold'
  AND t.name = {tournament}
  AND f.name LIKE '%Team%';"
