Types	Questions	Answers	PlayerName	SportCategory	Context	Popularity	Unnamed: 0
13	How many International Silver Medals did Feng Yanzhe win throughout his/her career?	2	Feng Yanzhe	Badminton	"Feng Yanzhe

Personal Information
Birth Date
2001-02-13	

Birth Place
Tianjin	

Height
1.95 m	

Weight

Years Active

Handedness
Right	

Coach
	

Date Of Highest Ranking
with 	

Country Representing: CHN
Sudirman Cup
Mixed team 	MedalGold | 2021 | Vantaa, MedalGold | 2023 | Suzhou

Asian Games
Men's team	MedalGold | 2022 | Hangzhou
Mixed doubles	MedalBronze | 2022 | Hangzhou

Asian Championships
Mixed doubles 	MedalGold | 2024 | Ningbo

Asia Mixed Team Championships
Mixed team 	MedalGold | 2023 | Dubai

World Junior Championships
Mixed team	MedalGold | 2018 | Markham, MedalSilver | 2019 | Kazan
Mixed doubles	MedalGold | 2019 | Kazan

Asian Junior Championships
Mixed doubles	MedalSilver | 2019 | Suzhou
Boys' doubles	MedalBronze | 2019 | Suzhou
Mixed team 	MedalBronze | 2019 | Suzhou

"	Neutral	
19	Which city did Benyapa Aimsaard win his/her first International Bronze Medals ?	Kazan, Suzhou	Benyapa Aimsaard	Badminton	"Benyapa Aimsaard

Personal Information
Birth Date
2002-8-29	

Birth Place

Height

Weight

Years Active

Handedness
Right	

Coach
	

Date Of Highest Ranking

Country Representing: THA
Uber Cup
Women's team 	MedalBronze | 2020 | Aarhus, MedalBronze | 2022 | Bangkok

Asian Games
Women's team	MedalBronze | 2022 | Hangzhou

Asia Mixed Team Championships
Mixed team 	MedalBronze | 2023 | Dubai

Asia Team Championships
Women's team 	MedalSilver | 2024 | Selangor

SEA Games
Women's team	MedalGold | 2021 | Vietnam, MedalGold | 2023 | Cambodia
Women's doubles	MedalSilver | 2021 | Vietnam

World Junior Championships
Mixed team	MedalBronze | 2019 | Kazan
Mixed doubles	MedalBronze | 2019 | Kazan

Asian Junior Championships
Mixed team 	MedalGold | 2019 | Suzhou
Girls' singles	MedalBronze | 2019 | Suzhou

"	Neutral	
1003	Determine the number of instances where Nour El Sherbini won a medal of a different color than the previous iteration of the same event.	6	Nour El Sherbini		"Nour El Sherbini

Personal Information
Birth Date
1995-11-1	

Birth Place
Alexandria, Egypt	

Height

Weight

Coach
Omar el Sherbini , Roushdy Mabrouk	

Years Active

Date Of Highest Ranking
1 November 2020	

Country Representing: EGY
World Championships
Singles 	MedalGold | 2015 | Kuala Lumpur, MedalGold | 2016 | El Gouna, MedalGold | 2022 | Cairo, MedalGold | 2023 | Chicago, MedalSilver | 2013 | Penang, MedalSilver | 2017 | Manchester, MedalSilver | 2024 | Cairo

World Team Championships
Team	MedalGold | 2012 | Nîmes, MedalGold | 2016 | Issy, MedalGold | 2018 | Dalian, MedalGold | 2022 | Cairo, MedalBronze | 2014 | Niagara

"		906.0
75	In which format did Robert Gardos win his/her first International medal ?	Singles, Mixed Doubles	Robert Gardos	TableTennis	"Robert Gardos

Personal Information
Birth Date
1979-01-16	

Birth Place
Budapest	

Height

Weight
66 kg	

Country Representing: AUT
European Games
Team	MedalBronze | 2015 | Baku

European Championships
Doubles 	MedalGold | 2012 | Herning, MedalSilver | 2013 | Schwechat, MedalBronze | 2008 | St
Team 	MedalGold | 2015 | Yekaterinburg, MedalBronze | 2009 | Stuttgart, MedalBronze | 2011 | Gdańsk
Doubles	MedalSilver | 2022 | Munich
Singles 	MedalBronze | 2008 | St
Mixed doubles	MedalBronze | 2022 | Munich

Country Representing: HUN
European Youth Championships
Singles 	MedalGold | 1993 | Ljubljana
Mixed Doubles 	MedalGold | 1993 | Ljubljana

"	Neutral	
96	How many medals did Ovidiu Ionescu win in his/her thirties ?	4	Ovidiu Ionescu	TableTennis	"Ovidiu Ionescu

Personal Information
Birth Date
1989-6-28	

Birth Place
Buzău	

Height
1.83 m	

Weight
72  kg	

Country Representing: ROU
World Championships
Doubles	MedalSilver | 2019 | Budapest

European Games
Mixed doubles	MedalSilver | 2019 | Minsk, MedalBronze | 2023 | Kraków

European Championships
Singles	MedalSilver | 2018 | Alicante
Mixed doubles	MedalSilver | 2022 | Munich
Mixed Doubles	MedalBronze | 2012 | Buzău, MedalBronze | 2016 | Budapest

"	Neutral	
13	How many International Bronze Medals did Tatjana Schoenmaker win throughout his/her career?	0	Tatjana Schoenmaker	Swimming	"Tatjana Schoenmaker

Personal Information
Birth Date
1997-7-9	

Birth Place
Johannesburg	

Height
178 cm	

Weight
63  kg	

Country Representing: RSA
Olympic Games
200 m breaststroke	MedalGold | 2020 | Tokyo
100 m breaststroke	MedalSilver | 2020 | Tokyo

World Championships (LC)
200 m breaststroke	MedalGold | 2023 | Fukuoka, MedalSilver | 2019 | Gwangju
100 m breaststroke	MedalSilver | 2023 | Fukuoka

Commonwealth Games
100 m breaststroke	MedalGold | 2018 | Gold Coast, MedalSilver | 2022 | Birmingham
200 m breaststroke	MedalGold | 2018 | Gold Coast, MedalGold | 2022 | Birmingham

African Games
50 m breaststroke	MedalGold | 2015 | Brazzaville
100 m breaststroke	MedalGold | 2015 | Brazzaville
200 m breaststroke	MedalGold | 2015 | Brazzaville

Summer Universiade
100 m breaststroke	MedalGold | 2019 | Naples
200 m breaststroke	MedalGold | 2019 | Naples, MedalSilver | 2017 | Taipei

African Youth Games
50 m breaststroke	MedalGold | 2014 | Gaborone
100 m breaststroke	MedalGold | 2014 | Gaborone

African Junior Championships
50 m breaststroke	MedalGold | 2013 | Lusaka
100 m breaststroke	MedalGold | 2013 | Lusaka
200 m breaststroke	MedalGold | 2013 | Lusaka
4x100 m freestyle	MedalGold | 2013 | Lusaka
4x200 m freestyle	MedalGold | 2013 | Lusaka
4x100 m medley	MedalGold | 2013 | Lusaka

"	Neutral	
1001	Count the different events in which Huang Dongping improved his medal color in any later iterations of any tournament, including non-consecutive cycles	12	Huang Dongping		"Huang Dongping

Personal Information
Birth Date
1995-4-30	

Birth Place
Nan	

Height
1.65 m	

Weight

Years Active

Handedness
Right	

Coach
	

Date Of Highest Ranking

Country Representing: CHN
Olympic Games
Mixed doubles	MedalGold | 2020 | Tokyo

World Championships
Mixed doubles	MedalSilver | 2018 | Nanjing, MedalBronze | 2019 | Basel, MedalBronze | 2022 | Tokyo

Sudirman Cup
Mixed team 	MedalGold | 2019 | Nanning, MedalGold | 2021 | Vantaa, MedalGold | 2023 | Suzhou, MedalSilver | 2017 | Gold Coast

Uber Cup
Women's team 	MedalGold | 2020 | Aarhus, MedalSilver | 2022 | Bangkok, MedalBronze | 2018 | Bangkok

Asian Games
Women's team	MedalSilver | 2018 | Jakarta, MedalSilver | 2022 | Hangzhou
Mixed doubles	MedalBronze | 2018 | Jakarta, MedalBronze | 2022 | Hangzhou

Asian Championships
Mixed doubles 	MedalGold | 2018 | Wuhan, MedalGold | 2019 | Wuhan, MedalGold | 2024 | Ningbo, MedalSilver | 2022 | Manila, MedalBronze | 2017 | Wuhan
Women's doubles	MedalBronze | 2017 | Wuhan

Asia Mixed Team Championships
Mixed team 	MedalGold | 2023 | Dubai, MedalBronze | 2017 | Ho Chi Minh

World Junior Championships
Mixed team	MedalGold | 2012 | Chiba, MedalBronze | 2013 | Bangkok
Girls' doubles	MedalBronze | 2013 | Bangkok
Mixed doubles	MedalBronze | 2013 | Bangkok

Asian Junior Championships
Girls' doubles	MedalGold | 2013 | Kota Kinabalu
Mixed team 	MedalGold | 2013 | Kota Kinabalu, MedalSilver | 2012 | Gimcheon
Mixed doubles	MedalSilver | 2012 | Gimcheon, MedalSilver | 2013 | Kota Kinabalu

"		131.0
66	In which year(s) did Lana Pudar win the lowest number of medals during their career ?	2024	Lana Pudar	Swimming	"Lana Pudar

Personal Information
Birth Date
2006-01-19	

Birth Place
Mostar	

Height

Weight

Country Representing: BIH
World Championships (LC)
200 m butterfly	MedalBronze | 2024 | Doha

World Championships (SC)
200 m butterfly	MedalBronze | 2021 | Abu Dhabi

European Championships (LC)
200 m butterfly	MedalGold | 2022 | Rome, MedalSilver | 2024 | Belgrade
100 m butterfly	MedalBronze | 2022 | Rome

European Championships (SC)
200 m butterfly	MedalBronze | 2023 | Otopeni

Mediterranean Games
100 m butterfly	MedalGold | 2022 | Oran
200 m butterfly	MedalGold | 2022 | Oran

World Junior Championships
200 m butterfly	MedalGold | 2023 | Netanya
100 m butterfly	MedalGold | 2023 | Netanya
50 m butterfly	MedalSilver | 2023 | Netanya

European Junior Championships
100 m butterfly	MedalGold | 2021 | Rome, MedalGold | 2023 | Belgrade, MedalSilver | 2022 | Otopeni
50 m butterfly	MedalGold | 2022 | Otopeni, MedalGold | 2023 | Belgrade, MedalSilver | 2021 | Rome
200 m butterfly	MedalGold | 2022 | Otopeni, MedalGold | 2023 | Belgrade, MedalSilver | 2021 | Rome

"	Neutral	
95	How many medals did Bruny Surin win in his/her twenties ?	10	Bruny Surin	Sprint	"Bruny Surin

Personal Information
Birth Date
1967-07-12	

Birth Place
Cap-Haïtien	

Height

Weight
81 kg	

Country Representing: CAN
Olympic Games
4x100 m relay	MedalGold | 1996 | Atlanta

World Championships
4x100 m relay	MedalGold | 1995 | Gothenburg, MedalGold | 1997 | Athens, MedalBronze | 1993 | Stuttgart
100 m	MedalSilver | 1995 | Gothenburg, MedalSilver | 1999 | Seville

IAAF World Indoor Championships
60 m	MedalGold | 1993 | Toronto, MedalGold | 1995 | Barcelona

Commonwealth Games
4x100 m relay	MedalGold | 1994 | Victoria
100 m	MedalBronze | 1990 | Auckland

Goodwill Games
4 x 100 m relay	MedalSilver | 1998 | New York

Jeux de la Francophonie
100 m	MedalGold | 1994 | Paris

"	Neutral	
19	Which city did Tom Shields win his/her first International Bronze Medals ?	Istanbul	Tom Shields	Swimming	"Tom Shields

Personal Information
Birth Date
1991-7-11	

Birth Place
Panama City, Florida	

Height

Weight
200  lb	

Country Representing: USA
Olympic Games
4x100 m medley	MedalGold | 2016 | SOG, MedalGold | 2020 | SOG

World Championships (LC)
4x100 m medley	MedalGold | 2015 | Kazan

World Championships (SC)
4x100 m medley	MedalGold | 2012 | Istanbul, MedalSilver | 2014 | Doha
4x50 m medley mixed	MedalGold | 2016 | Windsor
4x50 m medley	MedalGold | 2021 | Abu Dhabi, MedalSilver | 2016 | Windsor, MedalBronze | 2014 | Doha
100 m butterfly	MedalSilver | 2012 | Istanbul, MedalSilver | 2014 | Doha, MedalSilver | 2016 | Windsor
4x50 m freestyle	MedalSilver | 2014 | Doha, MedalSilver | 2016 | Windsor
50 m butterfly	MedalSilver | 2016 | Windsor, MedalBronze | 2012 | Istanbul
200 m butterfly	MedalSilver | 2016 | Windsor
4x100 m freestyle	MedalBronze | 2014 | Doha, MedalBronze | 2016 | Windsor, MedalBronze | 2021 | Abu Dhabi

Pan American Games
100 m butterfly	MedalGold | 2019 | Lima
4x100 m medley	MedalGold | 2019 | Lima

Summer Universiade
4x200 m freestyle	MedalGold | 2011 | Shenzhen
100 m butterfly	MedalSilver | 2011 | Shenzhen
4x100 m medley	MedalSilver | 2011 | Shenzhen

"	Neutral	
